
Running algorithm Hybrid_sort_700_run_sorted
Finished half_sorted_1000 | mean: 2.17 ms
Finished half_sorted_5000 | mean: 13.16 ms
Finished half_sorted_10000 | mean: 29.01 ms
Finished half_sorted_50000 | mean: 178.16 ms
Finished half_sorted_100000 | mean: 384.41 ms
Finished random_numbers_1000 | mean: 2.25 ms
Finished random_numbers_5000 | mean: 13.71 ms
Finished random_numbers_10000 | mean: 30.21 ms
Finished random_numbers_50000 | mean: 185.10 ms
Finished random_numbers_100000 | mean: 399.24 ms
Finished reverse_1000 | mean: 1.77 ms
Finished reverse_5000 | mean: 10.20 ms
Finished reverse_10000 | mean: 21.85 ms
Finished reverse_50000 | mean: 122.29 ms
Finished reverse_100000 | mean: 259.75 ms
Finished Sorted_1000 | mean: 0.12 ms
Finished Sorted_5000 | mean: 0.56 ms
Finished Sorted_10000 | mean: 1.13 ms
Finished Sorted_50000 | mean: 5.64 ms
Finished Sorted_100000 | mean: 11.37 ms

Running algorithm tim_run_detect_sorted
Finished half_sorted_1000 | mean: 1.90 ms
Finished half_sorted_5000 | mean: 12.45 ms
Finished half_sorted_10000 | mean: 27.25 ms
Finished half_sorted_50000 | mean: 165.28 ms
Finished half_sorted_100000 | mean: 358.49 ms
Finished random_numbers_1000 | mean: 2.09 ms
Finished random_numbers_5000 | mean: 13.59 ms
Finished random_numbers_10000 | mean: 29.66 ms
Finished random_numbers_50000 | mean: 178.60 ms
Finished random_numbers_100000 | mean: 384.80 ms
Finished reverse_1000 | mean: 2.45 ms
Finished reverse_5000 | mean: 13.40 ms
Finished reverse_10000 | mean: 27.94 ms
Finished reverse_50000 | mean: 154.47 ms
Finished reverse_100000 | mean: 322.86 ms
Finished Sorted_1000 | mean: 0.12 ms
Finished Sorted_5000 | mean: 0.56 ms
Finished Sorted_10000 | mean: 1.13 ms
Finished Sorted_50000 | mean: 5.64 ms
Finished Sorted_100000 | mean: 11.34 ms

Running algorithm mergeSort
Finished half_sorted_1000 | mean: 3.34 ms
Finished half_sorted_5000 | mean: 19.98 ms
Finished half_sorted_10000 | mean: 42.68 ms
Finished half_sorted_50000 | mean: 246.21 ms
Finished half_sorted_100000 | mean: 522.86 ms
Finished random_numbers_1000 | mean: 3.37 ms
Finished random_numbers_5000 | mean: 20.14 ms
Finished random_numbers_10000 | mean: 43.26 ms
Finished random_numbers_50000 | mean: 249.52 ms
Finished random_numbers_100000 | mean: 529.01 ms
Finished reverse_1000 | mean: 3.06 ms
Finished reverse_5000 | mean: 18.03 ms
Finished reverse_10000 | mean: 38.37 ms
Finished reverse_50000 | mean: 218.11 ms
Finished reverse_100000 | mean: 459.00 ms
Finished Sorted_1000 | mean: 3.11 ms
Finished Sorted_5000 | mean: 18.49 ms
Finished Sorted_10000 | mean: 39.31 ms
Finished Sorted_50000 | mean: 223.37 ms
Finished Sorted_100000 | mean: 470.21 ms

Running algorithm introsort
